AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
9/24/2011,0.2546,12.194,,7/31/2011,0.0063,0.3171,,9/30/2011,0.0783,7.274,,3/31/2019,0.0667,1.42,,12/31/2023,19.9032,1897.431,,,,,,3/31/2016,0.306,38.051,,9/30/2011,0.007,10.811,,9/30/2018,0.39,20.61
12/31/2011,0.5011,12.215,,10/30/2011,0.0073,0.3577,,12/31/2011,0.0617,7.678,,6/30/2019,-0.01,1.48,,6/30/2024,22.61,2140,,,,,,6/30/2016,0.3555,35.09,,12/31/2011,0.0195,8.655,,12/31/2018,0.37,13.8
3/31/2012,0.4446,18.082,,1/29/2012,0.0048,0.3419,,3/31/2012,0.0733,10.348,,9/30/2019,0.0067,1.158,,,,,,,,,,9/30/2016,0.368,40.104,,3/31/2012,0.0145,10.125,,3/31/2019,0.21,21.1275
6/30/2012,0.3364,17.613,,4/29/2012,0.0025,0.2976,,6/30/2012,0.1033,11.867,,12/31/2019,-0.0067,1.61,,,,,,,,,,12/31/2016,0.3865,39.525,,6/30/2012,0.001,11.418,,6/30/2019,0.473,19.35
9/29/2012,0.3129,20.206,,7/29/2012,0.0048,0.309,,9/30/2012,0.0817,9.01,,3/31/2020,0.0033,1.403,,,,,,,,,,3/31/2017,0.3925,42.285,,9/30/2012,-0.03,12.716,,9/30/2019,0.52,19.2
12/29/2012,0.4975,15.506,,10/28/2012,0.0085,0.2763,,12/31/2012,0.0667,8.807,,6/30/2020,0.0067,3.923,,,,,,,,,,6/30/2017,0.2545,46.369,,12/31/2012,0.0105,12.544,,12/31/2019,0.47,24.02
3/30/2013,0.3629,13.548,,1/27/2013,0.007,0.2864,,3/31/2013,0.0633,7.957,,9/30/2020,0.0233,7.57,,,,,,,,,,9/30/2017,0.4855,48.566,,3/31/2013,0.009,13.325,,3/31/2020,0.31,21.28
6/29/2013,0.2682,12.216,,4/28/2013,0.0033,0.3114,,6/30/2013,0.1067,10.138,,12/31/2020,0.0067,16.77,,,,,,,,,,12/31/2017,-0.2175,52.54,,6/30/2013,-0.001,13.885,,6/30/2020,0.35,28.39
9/28/2013,0.2968,14.971,,7/28/2013,0.004,0.3314,,9/30/2013,0.0917,8.708,,3/31/2021,0.0033,16.017,,,,,,,,,,3/31/2018,0.6765,51.729,,9/30/2013,-0.0045,15.632,,9/30/2020,0.51,26.4
12/28/2013,0.5211,17.47,,10/27/2013,0.005,0.3575,,12/31/2013,0.0767,11.295,,6/30/2021,0.0033,25.363,,,,,,,,,,6/30/2018,0.23,56.32,,12/31/2013,0.026,19.94,,12/31/2020,0.54,31.66
3/29/2014,0.4175,16.846,,1/26/2014,0.0065,0.3669,,3/31/2014,0.095,11.575,,9/30/2021,-0.0433,30.03,,,,,,,,,,9/30/2018,0.6605,60.205,,3/31/2014,0.0115,16.818,,3/31/2021,0.36,39.06
6/28/2014,0.3225,20.316,,4/27/2014,0.006,0.4437,,6/30/2014,0.14,11.838,,12/31/2021,0.0533,24.857,,,,,,,,,,12/31/2018,0.6435,52.119,,6/30/2014,-0.0135,16.239,,6/30/2021,0.78,35.18
9/27/2014,0.3575,22.364,,7/27/2014,0.0058,0.4234,,9/30/2014,0.1217,15.278,,3/31/2022,0.03,18.393,,,,,,,,,,3/31/2019,0.479,58.699,,9/30/2014,-0.0475,16.122,,9/30/2021,0.5,36.57
12/27/2014,0.77,25.413,,10/26/2014,0.008,0.4417,,12/31/2014,0.125,18.058,,6/30/2022,0.04,21.753,,,,,,,,,,6/30/2019,0.7165,54.006,,12/31/2014,0.023,15.518,,12/31/2021,0.82,43.95
3/28/2015,0.585,27.586,,1/25/2015,0.0087,0.4971,,3/31/2015,0.005,23.066,,9/30/2022,-0.82,30.227,,,,,,,,,,9/30/2019,0.51,60.906,,3/31/2015,-0.006,18.605,,3/31/2022,1.49,38.07
6/27/2015,0.465,28.488,,4/26/2015,0.006,0.5308,,6/30/2015,0.215,22.337,,12/31/2022,-0.1233,34.68,,,,,,,,,,12/31/2019,0.7745,66.804,,6/30/2015,0.01,21.705,,6/30/2022,2.7,40.35
9/26/2015,0.4925,25.898,,7/26/2015,0.0013,0.4701,,9/30/2015,0.1417,22.523,,3/31/2023,0.1625,30.98,,,,,,,,,,3/31/2020,0.498,57.954,,9/30/2015,0.0085,25.595,,9/30/2022,3.51,55.07
12/26/2015,0.825,24.495,,10/25/2015,0.0113,0.695,,12/31/2015,0.115,24.827,,6/30/2023,0.1767,49.73,,,,,,,,,,6/30/2020,0.5105,70.727,,12/31/2015,0.0515,33.795,,12/31/2022,3.31,82.1
3/26/2016,0.4775,24.089,,1/31/2016,0.0095,0.7147,,3/31/2016,0.135,22.23,,9/30/2023,0.3067,57.2,,,,,,,,,,9/30/2020,0.8275,73.099,,3/31/2016,0.0545,29.682,,3/31/2023,1.61,106.55
6/25/2016,0.3575,21.422,,5/1/2016,0.0098,0.8701,,6/30/2016,0.1533,26.785,,12/31/2023,0.17,54.52,,,,,,,,,,12/31/2020,1.127,87.416,,6/30/2016,0.0905,35.781,,6/30/2023,3.67,249.25
9/24/2016,0.42,25.991,,7/31/2016,0.0123,1.402,,9/30/2016,0.1683,24.468,,3/31/2024,0.28,82.92,,,,,,,,,,3/31/2021,1.3315,102.871,,9/30/2016,0.0265,41.866,,9/30/2023,2.96,274.22
12/31/2016,0.845,26.845,,10/30/2016,0.0253,1.7357,,12/31/2016,0.15,22.17,,6/30/2024,0.29,57.09,,,,,,,,,,6/30/2021,1.3846,121.788,,12/31/2016,0.0783,37.494,,12/31/2023,5.47,284.26
4/1/2017,0.5275,33.442,,1/29/2017,0.0295,2.7535,,3/31/2017,0.155,23.085,,,,,,,,,,,,,,9/30/2021,1.422,133.346,,3/31/2017,0.076,44.327,,3/31/2024,7.13,1010.03
7/1/2017,0.42,33.664,,4/30/2017,0.0215,2.5727,,6/30/2017,0.195,24.84,,,,,,,,,,,,,,12/31/2021,1.5575,144.494,,6/30/2017,0.0205,48.4,,6/30/2024,6.01,819.35
9/30/2017,0.52,36.167,,7/30/2017,0.0245,4.0592,,9/30/2017,0.195,27.625,,,,,,,,,,,,,,3/31/2022,1.245,138.724,,9/30/2017,0.0265,48.068,,3/31/2024,7.13,1010.03
12/30/2017,0.98,39.855,,10/29/2017,0.0347,4.9888,,12/31/2017,0.18,31.645,,,,,,,,,,,,,,6/30/2022,1.2185,108.694,,12/31/2017,0.1925,58.474,,6/30/2024,6.01,819.35
3/31/2018,0.6875,39.675,,1/28/2018,0.046,6.0179,,3/31/2018,0.19,28.605,,,,,,,,,,,,,,9/30/2022,1.07,95.414,,3/31/2018,0.168,72.367,,,,
